,CI,IP,CRP,STS,CP,HS,LOAN,DL,NONS,NAPM,UR,MOM
1998-01-01,-0.05174956843394435,0.00449525810887752,0.5800000000000001,0.36,174.2636,1525.0,-7.1,-0.18000000000000016,56811.0,315893.0,-0.10000000000000053,0.038536279851740574
1998-02-01,-0.05174956843394435,0.0015335227360127046,0.5800000000000001,0.34,165.0984,1584.0,-7.1,-0.18000000000000016,59362.0,322715.0,0.0,4.039054388748973
1998-03-01,-0.05174956843394435,0.000324902027270646,0.6000000000000005,0.49,166.715,1567.0,-7.1,-0.18000000000000016,57672.0,317454.0,0.10000000000000053,3.536785746305185
1998-04-01,-0.050746153846157493,0.0037121287280732496,0.6399999999999997,0.56,163.8963,1540.0,0.0,0.03000000000000025,55909.0,320388.0,-0.40000000000000036,2.3245814434893646
1998-05-01,-0.38306183456186393,0.006238916861902588,0.6099999999999994,0.51,158.2691,1536.0,0.0,0.03000000000000025,58575.0,320787.0,0.10000000000000053,-0.15782628740582538
1998-06-01,-0.05082699386515801,-0.0060213137433065,0.5999999999999996,0.38,155.1993,1641.0,0.0,0.03000000000000025,59020.0,311219.0,0.09999999999999964,0.1291925256902573
1998-07-01,-0.049123990208342516,-0.0039012682651357045,0.6000000000000005,0.37,143.6022,1698.0,36.4,0.08999999999999986,56670.0,308769.0,0.0,3.155805761163876
1998-08-01,-0.049123990208342516,0.020691797454480243,0.6200000000000001,0.3,136.9596,1614.0,36.4,0.08999999999999986,57658.0,318026.0,0.0,-5.268995540998716
1998-09-01,0.9562550122253356,-0.0010368174333446056,0.6899999999999995,0.07,153.7656,1582.0,36.4,0.08999999999999986,60257.0,319546.0,0.09999999999999964,-3.364047095889134
1998-10-01,0.0,0.0075061943478820226,0.8099999999999996,0.46,148.4851,1715.0,7.4,-0.009999999999999787,56319.0,315959.0,-0.09999999999999964,0.9182526394402402
1998-11-01,0.0,-0.0008760967017603649,0.9299999999999997,0.3,133.4806,1660.0,7.4,-0.009999999999999787,58162.0,319291.0,-0.09999999999999964,7.34568717262961
1998-12-01,-0.5454172854535353,0.00403795145022201,1.0100000000000007,0.15,133.019,1792.0,7.4,-0.009999999999999787,60818.0,315467.0,0.0,3.042079231955782
1999-01-01,-0.5454172854535353,0.004404513853072833,1.0499999999999998,0.27,135.2692,1748.0,10.0,-0.14000000000000012,57160.0,324278.0,-0.10000000000000053,3.94984344774457
1999-02-01,1.4511604863225729,0.005638113234675002,0.9899999999999993,0.44,130.8113,1670.0,10.0,-0.14000000000000012,58576.0,324617.0,0.10000000000000053,-0.220376265676407
1999-03-01,1.3495272727271586,0.0019164913570663966,0.9100000000000001,0.66,153.9354,1710.0,10.0,-0.14000000000000012,59657.0,322604.0,-0.20000000000000018,2.5494930345897586
1999-04-01,0.0,0.002219738229441548,0.8400000000000007,0.77,160.9771,1553.0,5.4,0.08999999999999986,58929.0,321414.0,0.09999999999999964,3.6798217647070715
1999-05-01,0.0,0.0062150614669580495,0.79,0.91,152.2197,1611.0,5.4,0.08999999999999986,59814.0,325581.0,-0.09999999999999964,-0.17638039361862923
1999-06-01,0.0,-0.0007243552957111321,0.7899999999999991,1.18,163.362,1559.0,5.4,0.08999999999999986,59045.0,323793.0,0.09999999999999964,-0.5804431915283175
1999-07-01,0.9469124476359494,0.006015945120375177,0.7599999999999998,1.1,169.1718,1669.0,9.1,-0.08000000000000007,62074.0,330548.0,0.0,3.892927987234927
1999-08-01,0.9469124476359494,0.004277471499349206,0.75,1.07,181.6245,1648.0,9.1,-0.08000000000000007,61732.0,332510.0,-0.09999999999999964,-3.3687650011731307
1999-09-01,-0.6741867778439595,-0.0044761642031448945,0.8099999999999996,1.1,191.063,1635.0,9.1,-0.08000000000000007,63231.0,333492.0,0.0,-0.5569552136706193
1999-10-01,-0.7170611969876539,0.01314583892017529,0.830000000000001,1.09,181.3902,1608.0,10.9,0.0,61451.0,341407.0,-0.10000000000000053,-1.1031436011904674
1999-11-01,-1.0512,0.005197827345666983,0.79,0.8,189.6623,1648.0,10.9,0.0,61849.0,334281.0,0.0,6.066858200799842
1999-12-01,0.9386758293838348,0.007686754337651092,0.6399999999999997,0.92,194.5372,1708.0,10.9,0.0,65451.0,344248.0,-0.09999999999999964,2.713195156741463
2000-01-01,0.9386758293838348,-0.0005465766012950901,0.5499999999999998,1.16,206.3651,1636.0,24.6,-0.029999999999999805,63975.0,350725.0,0.0,-0.21403024846857477
2000-02-01,0.3357550058892547,0.003627680180229298,0.6099999999999994,0.79,216.0089,1737.0,24.6,-0.029999999999999805,58497.0,331991.0,0.09999999999999964,-2.4512222290039034
2000-03-01,0.942132457676329,0.003756762389391932,0.6899999999999995,0.4,206.8815,1604.0,24.6,-0.029999999999999805,63642.0,344182.0,-0.09999999999999964,3.7994317096212598
2000-04-01,0.942132457676329,0.006365080515132515,0.7600000000000007,0.17,203.2085,1626.0,33.9,0.10999999999999988,64414.0,347917.0,-0.20000000000000018,1.2719082690485521
2000-05-01,3.4390521865889845,0.0030173465188223503,0.9100000000000001,0.45,223.2031,1575.0,33.9,0.10999999999999988,63753.0,340085.0,0.20000000000000018,-2.875873711690943
2000-06-01,-1.0607,0.0005153054282767133,0.8100000000000005,0.24,235.7137,1559.0,33.9,0.10999999999999988,68292.0,374700.0,0.0,3.1138624711470158
2000-07-01,-1.0607,-0.002000197021548189,0.6999999999999993,-0.09,213.3268,1463.0,43.9,0.20999999999999996,63581.0,343351.0,0.0,0.7686753359707836
2000-08-01,0.0,-0.0025782155272304763,0.71,-0.45,244.3988,1541.0,43.9,0.20999999999999996,64759.0,340728.0,0.09999999999999964,0.9746833967125923
2000-09-01,-0.7290413793104039,0.004190883108137866,0.7299999999999995,-0.38,237.4833,1507.0,43.9,0.20999999999999996,66733.0,354557.0,-0.19999999999999973,-1.2252239393151285
2000-10-01,-0.7290413793104039,-0.0037641947311986,0.79,-0.55,236.7139,1549.0,59.6,0.040000000000000036,63580.0,339610.0,0.0,-5.052481287175951
2000-11-01,-2.0599256174612286,0.00012687912827580305,0.8299999999999992,-0.64,256.384,1551.0,59.6,0.040000000000000036,62569.0,343578.0,0.0,-0.949964515058511
2000-12-01,-0.41633407922743443,-0.0029554786015393297,0.8099999999999996,-0.7,246.9237,1532.0,59.6,0.040000000000000036,62554.0,343858.0,0.0,-2.9914167313348656
2001-01-01,-0.41633407922743443,-0.00575163793363731,0.7799999999999994,-0.13,226.9736,1600.0,50.9,0.040000000000000036,60808.0,331600.0,0.30000000000000027,0.5640547434488923
2001-02-01,-0.47804674142699566,-0.0067685840525608665,0.7700000000000005,0.09,221.9866,1625.0,50.9,0.040000000000000036,60697.0,335205.0,0.0,-1.884642885442375
2001-03-01,0.10003481385764812,-0.0024524657326331356,0.8599999999999994,0.35,212.7381,1590.0,50.9,0.040000000000000036,58146.0,333486.0,0.09999999999999964,-7.9698740397914065
2001-04-01,0.10003481385764812,-0.003116355997972775,0.8700000000000001,1.17,224.2305,1649.0,40.4,0.22999999999999998,54841.0,321890.0,0.10000000000000053,0.3375359275124197
2001-05-01,-0.6625882386043612,-0.005912904075895953,0.7800000000000002,1.69,217.6236,1605.0,40.4,0.22999999999999998,56599.0,329643.0,-0.10000000000000053,5.50700128728694
2001-06-01,-1.0345,-0.005537176846139857,0.79,1.71,202.6644,1636.0,40.4,0.22999999999999998,55428.0,324044.0,0.20000000000000018,-2.050240917123247
2001-07-01,-1.0345,-0.006157796877117261,0.8399999999999999,1.65,201.72,1670.0,50.9,0.10999999999999988,53436.0,318401.0,0.09999999999999964,-2.2349729992094467
2001-08-01,-1.769834885025272,-0.0010505399104583368,0.8300000000000001,1.53,203.0028,1567.0,50.9,0.10999999999999988,54169.0,321838.0,0.3000000000000007,-1.6272405304523687
2001-09-01,-1.769834885025272,-0.005119495926554918,0.8599999999999994,2.04,181.7182,1562.0,50.9,0.10999999999999988,50735.0,311821.0,0.09999999999999964,-8.935544663581297
2001-10-01,-0.5185117613956557,-0.0032577575562656724,0.8799999999999999,2.37,175.3805,1540.0,45.5,-0.06000000000000005,49736.0,318537.0,0.2999999999999998,2.179331351017595
2001-11-01,0.7287474308301324,-0.00598737540403782,0.8399999999999999,2.74,169.575,1602.0,45.5,-0.06000000000000005,51335.0,310008.0,0.20000000000000018,3.7840395625333656
2001-12-01,0.7287474308301324,-0.0001827348483302016,1.2800000000000011,3.37,169.1572,1568.0,45.5,-0.06000000000000005,51290.0,311731.0,0.20000000000000018,1.0879483359200606
2002-01-01,0.7287474308301324,0.006594414556980066,1.3200000000000003,3.36,166.0257,1698.0,25.0,-0.08999999999999986,47643.0,308617.0,0.0,-0.24032877967471222
